BIMTypeCode;BIMTypeCode-Description;IfcTypeObject;PredefinedType;IfcGroup;IfcGroup-PredefinedType;CCS;FVK
621;Forsyning;;;IfcDistributionSystem;;;
622;Fordeling;;;IfcDistributionSystem;;;
623;Installationer for apparater og maskiner;;;IfcDistributionSystem;;;
629;Øvrigt, Højspænding;;;;;;
63;Lavspænding;;;;;;
631;Forsyninger - ekstern;;;IfcDistributionSystem;;;
632;Fordeling;;;IfcDistributionSystem;;;
633;Installationer for apparater og maskiner;;;IfcDistributionSystem;;;
634;Termiske anlæg;;;IfcDistributionSystem;;;
635;Installationer for belysning;;;IfcDistributionSystem;;;
636;Belysningsarmaturer;IfcLightFixtureType;;IfcDistributionSystem;LIGHTING;;
637;Kraftinstallationer;;;IfcDistributionSystem;;;
638;Vedvarende energi - Intern forsyning;;;IfcDistributionSystem;;;
639;Øvrigt, Lavspænding;;;;;;
64;Kommunikation og information;;;;;;
641;Kommunikation;;;IfcDistributionSystem;COMMUNICATION;;
642;Information;;;IfcDistributionSystem;;;
643;Audio, video og antenner;;;IfcDistributionSystem;;;
644;IT-infrastrukturer;;;IfcDistributionSystem;DATA;;
649;Øvrigt, Kommunikation og information;;;;;;
65;Sikring;;;;;;
651;Adgangssikringer;;;IfcDistributionSystem;SECURITY;;
652;Sikringsanlæg;;;IfcDistributionSystem;SECURITY;;
653;Personsikringer;;;IfcDistributionSystem;SECURITY;;
659;Øvrigt, Sikring;;;;;;
66;Bygningsautomation;;;;;;
661;Managementsystemer;;;IfcDistributionSystem;;;
662;Central tilstandsstyring;;;IfcDistributionSystem;;;
663;Descentral tilstandsstyring;;;IfcDistributionSystem;;;
664;Automatikkomponenter;;;IfcDistributionSystem;;;
669;Øvrigt, Bygningsautomation;;;;;;
67;Beskyttelse;;;;;;
671;Overspændingsbeskyttelse;;;IfcDistributionSystem;LIGHTNINGPROTECTION;;
672;Udligningsforbindelser;;;IfcDistributionSystem;;;
679;Øvrigt, Beskyttelse;;;;;;
68;Person-, materiale- og servicetransport;;;IfcDistributionSystem;;;
681;Persontransport;IfcTransportElementType;;;;;
682;Gods- og materialetransport;IfcTransportElementType;;;;;
683;Servicetransport;IfcTransportElementType;;;;;
689;Øvrigt, Person-, materiale- og servicetransport;IfcTransportElementType;;;;;
69;El- og mekaniske anlæg, øvrige;;;;;;
7;Inventar og teknisk udstyr;;;;;;
70;Inventar, terræn;;;;;;
701;Tekniske inventarenheder;;;;;;
702;Tavler, skilte og skærme;;;;;;
703;Opbevaring;IfcFurnitureType;;;;;
704;Bordmøbler;IfcFurnitureType;TABLE;;;;
705;Siddemøbler;IfcFurnitureType;;;;;
706;Afskærmninger;IfcFurnitureType;;;;;
707;Aktivites- og legeudstyr;IfcGeographicElementType;USERDEFINED;;;;
709;Øvrigt, Inventar i terræn;;;;;;
71;Inventar, fastmonteret;IfcFurnitureType;NOTDEFINED;;;;
711;Opbevaringsmøbler, fastmonterede;IfcFurnitureType;;;;;
712;- verkant -;;;;;;
713;Siddemøbler, liggemøbler;IfcFurnitureType;;;;;
714;Gardiner, persienner, skærmvægge, forhæng;IfcFurnitureType;USERDEFINED;;;;
715;Borde, bordplader;IfcFurnitureType;;;;;
716;Skilte, tavler;IfcFurnitureType;USERDEFINED;;;;
717;Garniture;IfcFurnitureType;USERDEFINED;;;;
719;Øvrigt, Fastmonteret inventar;IfcFurnitureType;;;;;
72;Inventar, løst;IfcFurnitureType;NOTDEFINED;;;;
721;Opbevaringsmøbler, løse;IfcFurnitureType;;;;;
722;- verkant -;;;;;;
723;Siddemøbler, liggemøbler;IfcFurnitureType;;;;;
724;Skærmvægge, forhæng;IfcFurnitureType;USERDEFINED;;;;
725;Borde;IfcFurnitureType;;;;;
726;Stativer;IfcFurnitureType;USERDEFINED;;;;
727;Måtter, tæpper, løbere;IfcFurnitureType;USERDEFINED;;;;
729;Øvrigt, Løst inventar;IfcFurnitureType;USERDEFINED;;;;
73;Inventar, tekniske-, IT- og av-inventarenheder;;;;;;
731;AV-udstyr;IfcAudioVisualApplianceType;;;;;
732;IT-udstyr;IfcCommunicationsApplianceType;;;;;
733;Belysning;IfcLightFixtureType;;;;;
734;Automater;IfcElectricApplianceType;VENDINGMACHINE;;;;
735;Brandslukningsudstyr;IfcFurnitureType;USERDEFINED;;;;
736;Hårde hvidevarer;IfcElectricApplianceType;;;;;
739;Øvrigt, Tekniske-, IT- og av-inventarenheder;;;;;;
79;Inventar, øvrige;;;;;;
8;Beplantning;;;;;;
80;Beplantning;;;;;;
801;Træer;IfcGeographicElementType;USERDEFINED;;;;
802;Buske og hække;IfcGeographicElementType;USERDEFINED;;;;
803;Muldlag;IfcGeographicElementType;TERRAIN;;;;
804;Bunddække og stauder;IfcGeographicElementType;USERDEFINED;;;;
805;Græsarealer;IfcGeographicElementType;USERDEFINED;;;;
806;Ekstensive beplantningssystemer;IfcGeographicElementType;USERDEFINED;;;;
807;Intensive opbygninger på tage;IfcGeographicElementType;USERDEFINED;;;;
809;Øvrigt, Beplantning;IfcGeographicElementType;USERDEFINED;;;;
81;- verkant -;;;;;;
89;Beplantning, øvrige;;;;;;
9;Projektudstyr;;;;;;
91;Projektudstyr ARK;;;;;;
911;FRI;;;;;;
92;Projektudstyr KON;;;;;;
921;FRI;;;;;;
93;Projektudstyr VENT;;;;;;
931;FRI;;;;;;
94;Projektudstyr VVS;;;;;;
941;FRI;;;;;;
95;Projektudstyr EL;;;;;;
951;FRI;;;;;;
96;Projektudstyr LAND;;;;;;
961;FRI;;;;;;
97;Projektudstyr ENTREPRENØR/LEVERANDØR;;;;;;
971;FRI;;;;;;
99;Projektudstyr, øvrige;;;;;;
991;FRI;;;;;;
